@RELATION changeToArff

@ATTRIBUTE bidnumber REAL
@ATTRIBUTE bidtext REAL
@ATTRIBUTE numberofdicetobid REAL
@ATTRIBUTE diceselectedforcurrentbid REAL
@ATTRIBUTE die1 REAL
@ATTRIBUTE die2 REAL
@ATTRIBUTE die3 REAL
@ATTRIBUTE die4 REAL
@ATTRIBUTE die5 REAL
@ATTRIBUTE remainingdice REAL
@ATTRIBUTE round REAL
@ATTRIBUTE somestat REAL
@ATTRIBUTE 0or1 REAL

@DATA
6,3,4,1,3,1,2,?,?,14,7,0.46,1
3,2,3,1,4,2,3,?,?,13,8,0.46,1
3,4,5,1,4,2,3,?,?,13,8,0.01,1
6,3,4,1,5,1,6,?,?,12,9,0.46,1
3,5,6,1,5,1,6,?,?,12,9,0.01,0
?,?,1,1,2,5,?,?,?,11,10,16.67,1
4,4,5,1,2,5,?,?,?,11,10,0.01,1
3,2,3,1,5,6,?,?,?,10,11,0.46,1
3,5,6,1,5,6,?,?,?,10,11,0,0
?,?,1,1,4,?,?,?,?,9,12,16.67,1
6,4,5,1,4,?,?,?,?,9,12,0.01,0
6,3,4,1,6,6,2,4,4,20,1,0.08,1
1,3,4,1,5,4,2,4,6,19,2,0.08,1
4,5,6,1,5,4,2,4,6,19,2,0,0
?,?,1,1,6,6,3,2,?,18,3,16.67,1
3,4,5,1,6,6,3,2,?,18,3,0.01,0
?,?,1,1,3,5,2,?,?,17,4,16.67,1
4,3,4,1,3,5,2,?,?,17,4,0.08,1
5,1,2,1,2,4,1,?,?,16,5,16.67,1
3,4,5,1,2,4,1,?,?,16,5,0.08,0
?,?,1,1,3,4,?,?,?,15,6,16.67,1
5,3,4,1,3,4,?,?,?,15,6,0.08,1
5,5,6,1,3,4,?,?,?,15,6,0,0
?,?,1,1,4,?,?,?,?,14,7,16.67,1
2,4,5,1,4,?,?,?,?,14,7,0.01,0
3,4,5,1,3,6,6,6,4,20,1,0.01,0
?,?,1,1,4,4,2,2,?,19,2,16.67,1
6,3,4,1,4,4,2,2,?,19,2,0.08,1
2,2,3,1,2,4,4,3,?,18,3,0.46,1
2,5,6,1,2,4,4,3,?,18,3,0,0
?,?,1,1,3,6,5,?,?,17,4,16.67,1
2,3,4,1,3,6,5,?,?,17,4,0.08,1
5,2,3,1,4,6,1,?,?,16,5,2.78,1
6,1,2,1,3,4,3,?,?,15,6,2.78,1
